[2019-12-23 13:07:22:0423] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 16:04:06:0992] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[3864]
[2019-12-23 16:04:07:0222] | GigEVisionManager.cpp-L4554: Lost Frame From Net[13709], Total Frame Count[13710], NetCount[1], CurBlock[13710], LastBlock[0]
[2019-12-23 16:04:07:0424] | GigEVisionManager.cpp-L4571: throw frame from list[2], CurFrameNum[13713], LastFrame[13710]
[2019-12-23 16:04:10:0621] | GigEVisionManager.cpp-L4571: throw frame from list[13], CurFrameNum[13756], LastFrame[13744]
[2019-12-23 16:08:34:0578] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 16:08:34:0578] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 16:08:34:0578] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:08:34:0578] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:08:34:0578] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[57799], devIP[a9fe5400]
[2019-12-23 16:08:34:0580] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe7b4f], m_nUpDevIP[a9fe5400]
[2019-12-23 16:08:34:0580] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:08:34:0589] | GigEVisionManager.cpp-L2790: event thread start...
[2019-12-23 16:08:34:0927] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:08:35:0066] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[10360]
[2019-12-23 16:08:35:0240] | GigEVisionManager.cpp-L4554: Lost Frame From Net[16145], Total Frame Count[16146], NetCount[1], CurBlock[16146], LastBlock[0]
[2019-12-23 16:08:43:0429] | GigEVisionManager.cpp-L4571: throw frame from list[8], CurFrameNum[16257], LastFrame[16248]
[2019-12-23 16:11:37:0628] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 16:11:37:0628] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 16:11:37:0629] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:11:37:0629] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:11:37:0629] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[62895], devIP[a9fe5400]
[2019-12-23 16:11:37:0632] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe7b4f], m_nUpDevIP[a9fe5400]
[2019-12-23 16:11:37:0632] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:11:37:0643] | GigEVisionManager.cpp-L2790: event thread start...
[2019-12-23 16:11:37:0995] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:11:38:0136] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[12988]
[2019-12-23 16:11:38:0311] | GigEVisionManager.cpp-L4554: Lost Frame From Net[17107], Total Frame Count[17108], NetCount[1], CurBlock[17108], LastBlock[0]
[2019-12-23 16:17:34:0213] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 16:17:34:0213] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 16:17:34:0213] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:17:34:0213] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:17:34:0214] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[63529], devIP[a9fe5400]
[2019-12-23 16:17:34:0220] | GigEVisionManager.cpp-L0885: GVCP_GetAccessPrivilege [1][80000203]
[2019-12-23 16:17:34:0222] | GigEVisionManager.cpp-L0739: connect device failed! [80000203]
[2019-12-23 16:17:34:0222] | GigEVisionManager.cpp-L0901: disconnect device ...
[2019-12-23 16:17:34:0223] | GigEVisionManager.cpp-L1876: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2019-12-23 16:17:34:0223] | GigEVisionManager.cpp-L2329: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2019-12-23 16:17:56:0020] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 16:17:56:0020] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 16:17:56:0020] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:17:56:0021] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:17:56:0021] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[55584], devIP[a9fe5400]
[2019-12-23 16:17:56:0026] | GigEVisionManager.cpp-L0885: GVCP_GetAccessPrivilege [1][80000203]
[2019-12-23 16:17:56:0028] | GigEVisionManager.cpp-L0739: connect device failed! [80000203]
[2019-12-23 16:17:56:0028] | GigEVisionManager.cpp-L0901: disconnect device ...
[2019-12-23 16:17:56:0029] | GigEVisionManager.cpp-L1876: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2019-12-23 16:17:56:0029] | GigEVisionManager.cpp-L2329: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2019-12-23 16:18:35:0117] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 16:18:35:0117] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 16:18:35:0117] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:18:35:0117] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:18:35:0117] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[53398], devIP[a9fe5400]
[2019-12-23 16:18:35:0120] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe7b4f], m_nUpDevIP[a9fe5400]
[2019-12-23 16:18:35:0120] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:18:35:0130] | GigEVisionManager.cpp-L2790: event thread start...
[2019-12-23 16:18:35:0447] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:18:35:0682] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[13440]
[2019-12-23 16:18:35:0925] | GigEVisionManager.cpp-L4554: Lost Frame From Net[20864], Total Frame Count[20865], NetCount[1], CurBlock[20865], LastBlock[0]
[2019-12-23 16:18:36:0049] | GigEVisionManager.cpp-L4571: throw frame from list[1], CurFrameNum[20867], LastFrame[20865]
[2019-12-23 16:18:38:0361] | GigEVisionManager.cpp-L4571: throw frame from list[9], CurFrameNum[20899], LastFrame[20890]
[2019-12-23 16:22:54:0740] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 16:22:54:0740] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 16:22:54:0740] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:22:54:0741] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:22:54:0741] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[53304], devIP[a9fe5400]
[2019-12-23 16:22:54:0742] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe7b4f], m_nUpDevIP[a9fe5400]
[2019-12-23 16:22:54:0742] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:22:54:0754] | GigEVisionManager.cpp-L2790: event thread start...
[2019-12-23 16:22:55:0142] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:22:55:0303] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[19084]
[2019-12-23 16:22:55:0477] | GigEVisionManager.cpp-L4554: Lost Frame From Net[21746], Total Frame Count[21747], NetCount[1], CurBlock[21747], LastBlock[0]
[2019-12-23 16:25:05:0265] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 16:25:05:0265] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 16:25:05:0265] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:25:05:0265] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:25:05:0265] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[49335], devIP[a9fe5400]
[2019-12-23 16:25:05:0272] | GigEVisionManager.cpp-L0885: GVCP_GetAccessPrivilege [1][80000203]
[2019-12-23 16:25:05:0273] | GigEVisionManager.cpp-L0739: connect device failed! [80000203]
[2019-12-23 16:25:05:0273] | GigEVisionManager.cpp-L0901: disconnect device ...
[2019-12-23 16:25:05:0275] | GigEVisionManager.cpp-L1876: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2019-12-23 16:25:05:0275] | GigEVisionManager.cpp-L2329: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2019-12-23 16:25:17:0650] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 16:25:17:0650] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 16:25:17:0650] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:25:17:0650] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:25:17:0650] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[49348], devIP[a9fe5400]
[2019-12-23 16:25:17:0657] | GigEVisionManager.cpp-L0885: GVCP_GetAccessPrivilege [1][80000203]
[2019-12-23 16:25:17:0658] | GigEVisionManager.cpp-L0739: connect device failed! [80000203]
[2019-12-23 16:25:17:0658] | GigEVisionManager.cpp-L0901: disconnect device ...
[2019-12-23 16:25:17:0659] | GigEVisionManager.cpp-L1876: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2019-12-23 16:25:17:0659] | GigEVisionManager.cpp-L2329: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2019-12-23 16:25:55:0083] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 16:25:55:0083] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 16:25:55:0083] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:25:55:0083] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:25:55:0083] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[52377], devIP[a9fe5400]
[2019-12-23 16:25:55:0085] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe7b4f], m_nUpDevIP[a9fe5400]
[2019-12-23 16:25:55:0085] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:25:55:0096] | GigEVisionManager.cpp-L2790: event thread start...
[2019-12-23 16:25:55:0521] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:25:55:0658] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[18188]
[2019-12-23 16:25:55:0836] | GigEVisionManager.cpp-L4554: Lost Frame From Net[23971], Total Frame Count[23972], NetCount[1], CurBlock[23972], LastBlock[0]
[2019-12-23 16:35:28:0710] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 16:35:28:0710] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 16:35:28:0710] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:35:28:0710] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:35:28:0710] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[53851], devIP[a9fe5400]
[2019-12-23 16:35:28:0712] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe7b4f], m_nUpDevIP[a9fe5400]
[2019-12-23 16:35:28:0712] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:35:28:0723] | GigEVisionManager.cpp-L2790: event thread start...
[2019-12-23 16:35:28:0956] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:35:29:0061] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[19124]
[2019-12-23 16:35:29:0235] | GigEVisionManager.cpp-L4554: Lost Frame From Net[24823], Total Frame Count[24824], NetCount[1], CurBlock[24824], LastBlock[0]
[2019-12-23 16:39:13:0970] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 16:39:13:0970] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 16:39:13:0971] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:39:13:0971] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:39:13:0971] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[49498], devIP[a9fe5400]
[2019-12-23 16:39:13:0973] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe7b4f], m_nUpDevIP[a9fe5400]
[2019-12-23 16:39:13:0973] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:39:13:0984] | GigEVisionManager.cpp-L2790: event thread start...
[2019-12-23 16:39:14:0277] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:39:14:0404] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[15016]
[2019-12-23 16:39:14:0578] | GigEVisionManager.cpp-L4554: Lost Frame From Net[25656], Total Frame Count[25657], NetCount[1], CurBlock[25657], LastBlock[0]
[2019-12-23 16:39:24:0565] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 16:39:24:0565] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 16:39:24:0566] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:39:24:0566] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:39:24:0566] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[53855], devIP[a9fe5400]
[2019-12-23 16:39:24:0572] | GigEVisionManager.cpp-L0885: GVCP_GetAccessPrivilege [1][80000203]
[2019-12-23 16:39:24:0573] | GigEVisionManager.cpp-L0739: connect device failed! [80000203]
[2019-12-23 16:39:24:0573] | GigEVisionManager.cpp-L0901: disconnect device ...
[2019-12-23 16:39:24:0574] | GigEVisionManager.cpp-L1876: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2019-12-23 16:39:24:0574] | GigEVisionManager.cpp-L2329: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2019-12-23 16:39:34:0719] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 16:39:34:0719] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 16:39:34:0719] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:39:34:0719] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:39:34:0719] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[61864], devIP[a9fe5400]
[2019-12-23 16:39:34:0725] | GigEVisionManager.cpp-L0885: GVCP_GetAccessPrivilege [1][80000203]
[2019-12-23 16:39:34:0726] | GigEVisionManager.cpp-L0739: connect device failed! [80000203]
[2019-12-23 16:39:34:0726] | GigEVisionManager.cpp-L0901: disconnect device ...
[2019-12-23 16:39:34:0727] | GigEVisionManager.cpp-L1876: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2019-12-23 16:39:34:0727] | GigEVisionManager.cpp-L2329: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2019-12-23 16:41:09:0014] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 16:41:09:0014] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 16:41:09:0014] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:41:09:0014] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:41:09:0014] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[52970], devIP[a9fe5400]
[2019-12-23 16:41:09:0016] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe7b4f], m_nUpDevIP[a9fe5400]
[2019-12-23 16:41:09:0016] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:41:09:0027] | GigEVisionManager.cpp-L2790: event thread start...
[2019-12-23 16:41:09:0316] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:41:09:0419] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[17948]
[2019-12-23 16:41:09:0593] | GigEVisionManager.cpp-L4554: Lost Frame From Net[26489], Total Frame Count[26490], NetCount[1], CurBlock[26490], LastBlock[0]
[2019-12-23 16:48:48:0475] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 16:48:48:0475] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 16:48:48:0475] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:48:48:0475] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:48:48:0475] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[64488], devIP[a9fe5400]
[2019-12-23 16:48:48:0477] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe7b4f], m_nUpDevIP[a9fe5400]
[2019-12-23 16:48:48:0477] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:48:48:0488] | GigEVisionManager.cpp-L2790: event thread start...
[2019-12-23 16:48:48:0730] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:48:48:0835] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[12100]
[2019-12-23 16:48:49:0007] | GigEVisionManager.cpp-L4554: Lost Frame From Net[27355], Total Frame Count[27356], NetCount[1], CurBlock[27356], LastBlock[0]
[2019-12-23 16:56:58:0987] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 16:56:58:0987] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 16:56:58:0987] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:56:58:0987] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:56:58:0987] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[56109], devIP[a9fe5400]
[2019-12-23 16:56:58:0989] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe7b4f], m_nUpDevIP[a9fe5400]
[2019-12-23 16:56:58:0989] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:56:59:0000] | GigEVisionManager.cpp-L2790: event thread start...
[2019-12-23 16:56:59:0270] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:56:59:0382] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[19556]
[2019-12-23 16:56:59:0555] | GigEVisionManager.cpp-L4554: Lost Frame From Net[28188], Total Frame Count[28189], NetCount[1], CurBlock[28189], LastBlock[0]
[2019-12-23 16:57:03:0918] | GigEVisionManager.cpp-L4571: throw frame from list[7], CurFrameNum[28248], LastFrame[28240]
[2019-12-23 16:58:07:0098] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 16:58:07:0098] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 16:58:07:0098] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:58:07:0098] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:58:07:0098] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[52364], devIP[a9fe5400]
[2019-12-23 16:58:07:0099] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe7b4f], m_nUpDevIP[a9fe5400]
[2019-12-23 16:58:07:0099] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:58:07:0110] | GigEVisionManager.cpp-L2790: event thread start...
[2019-12-23 16:58:07:0328] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:58:07:0432] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[10468]
[2019-12-23 16:58:07:0605] | GigEVisionManager.cpp-L4554: Lost Frame From Net[29103], Total Frame Count[29104], NetCount[1], CurBlock[29104], LastBlock[0]
[2019-12-23 17:03:52:0773] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 17:03:52:0773] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 17:03:52:0773] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 17:03:52:0773] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 17:03:52:0773] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[53543], devIP[a9fe5400]
[2019-12-23 17:03:52:0779] | GigEVisionManager.cpp-L0885: GVCP_GetAccessPrivilege [1][80000203]
[2019-12-23 17:03:52:0780] | GigEVisionManager.cpp-L0739: connect device failed! [80000203]
[2019-12-23 17:03:52:0780] | GigEVisionManager.cpp-L0901: disconnect device ...
[2019-12-23 17:03:52:0781] | GigEVisionManager.cpp-L1876: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2019-12-23 17:03:52:0781] | GigEVisionManager.cpp-L2329: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2019-12-23 17:04:10:0276] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 17:04:10:0276] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 17:04:10:0276] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 17:04:10:0276] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 17:04:10:0276] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[61495], devIP[a9fe5400]
